GlobalEventID,Day,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,Date,AllActors,Candidate,Sentiment,TextForTopics,TopicNum,TopicLabel
1057664849,20220808,202208,2022,2022.5973,KEN,KENYA,KEN,,,,,,,,SEN,SENEGAL,SEN,,,,,,,,1,36,36,3,1,4.0,1,1,1,-1.68067226890756,1,Nigeria,NI,NI,10.0,8.0,NI,1,Nigeria,NI,NI,10.0,8.0,NI,1,Rwanda,RW,RW,-2.0,30.0,RW,20220808,https://mg.co.za/global/2022-08-08-us-secretary-of-state-antony-blinkens-visit-aims-to-reset-relations-with-south-africa/,2022-08-08,KENYA SENEGAL HTTPS://MG.CO.ZA/GLOBAL/2022-08-08-US-SECRETARY-OF-STATE-ANTONY-BLINKENS-VISIT-AIMS-TO-RESET-RELATIONS-WITH-SOUTH-AFRICA/,General,Neutral,KENYA SENEGAL Nigeria Nigeria Rwanda,104,Other
1057664850,20220808,202208,2022,2022.5973,KEN,KENYA,KEN,,,,,,,,SEN,SENEGAL,SEN,,,,,,,,1,36,36,3,1,4.0,1,1,1,-1.68067226890756,1,Senegal,SG,SG,14.0,-14.0,SG,1,Nigeria,NI,NI,10.0,8.0,NI,1,Nigeria,NI,NI,10.0,8.0,NI,20220808,https://mg.co.za/global/2022-08-08-us-secretary-of-state-antony-blinkens-visit-aims-to-reset-relations-with-south-africa/,2022-08-08,KENYA SENEGAL HTTPS://MG.CO.ZA/GLOBAL/2022-08-08-US-SECRETARY-OF-STATE-ANTONY-BLINKENS-VISIT-AIMS-TO-RESET-RELATIONS-WITH-SOUTH-AFRICA/,General,Neutral,KENYA SENEGAL Senegal Nigeria Nigeria,81,Other
1057665063,20220808,202208,2022,2022.5973,SEN,SENEGAL,SEN,,,,,,,,KEN,KENYA,KEN,,,,,,,,1,36,36,3,1,4.0,1,1,1,-1.68067226890756,1,Nigeria,NI,NI,10.0,8.0,NI,1,Nigeria,NI,NI,10.0,8.0,NI,1,Rwanda,RW,RW,-2.0,30.0,RW,20220808,https://mg.co.za/global/2022-08-08-us-secretary-of-state-antony-blinkens-visit-aims-to-reset-relations-with-south-africa/,2022-08-08,SENEGAL KENYA HTTPS://MG.CO.ZA/GLOBAL/2022-08-08-US-SECRETARY-OF-STATE-ANTONY-BLINKENS-VISIT-AIMS-TO-RESET-RELATIONS-WITH-SOUTH-AFRICA/,General,Neutral,SENEGAL KENYA Nigeria Nigeria Rwanda,104,Other
1057665064,20220808,202208,2022,2022.5973,SEN,SENEGAL,SEN,,,,,,,,KEN,KENYA,KEN,,,,,,,,1,36,36,3,1,4.0,1,1,1,-1.68067226890756,1,Nigeria,NI,NI,10.0,8.0,NI,1,Senegal,SG,SG,14.0,-14.0,SG,1,Nigeria,NI,NI,10.0,8.0,NI,20220808,https://mg.co.za/global/2022-08-08-us-secretary-of-state-antony-blinkens-visit-aims-to-reset-relations-with-south-africa/,2022-08-08,SENEGAL KENYA HTTPS://MG.CO.ZA/GLOBAL/2022-08-08-US-SECRETARY-OF-STATE-ANTONY-BLINKENS-VISIT-AIMS-TO-RESET-RELATIONS-WITH-SOUTH-AFRICA/,General,Neutral,SENEGAL KENYA Nigeria Senegal Nigeria,81,Other
1057666033,20220808,202208,2022,2022.5973,CHRCTH,CATHOLIC,,,,CHR,CTH,,,,,,,,,,,,,,1,20,20,2,1,3.0,6,1,6,3.23741007194245,4,"Kiambu, Central, Kenya",KE,KE01,-1.16667,36.8333,-2250071,0,,,,,,,4,"Kiambu, Central, Kenya",KE,KE01,-1.16667,36.8333,-2250071,20220808,https://allafrica.com/stories/202208080190.html,2022-08-08,CATHOLIC  HTTPS://ALLAFRICA.COM/STORIES/202208080190.HTML,General,Positive,"CATHOLIC  Kiambu, Central, Kenya  Kiambu, Central, Kenya",9,Central Kenya / Kiambu
1057666034,20220808,202208,2022,2022.5973,CHRCTH,CATHOLIC,,,,CHR,CTH,,,,,,,,,,,,,,1,20,20,2,1,3.0,4,1,4,3.23741007194245,4,"Nairobi, Nairobi Area, Kenya",KE,KE05,-1.28333,36.8167,-2258072,0,,,,,,,4,"Nairobi, Nairobi Area, Kenya",KE,KE05,-1.28333,36.8167,-2258072,20220808,https://allafrica.com/stories/202208080190.html,2022-08-08,CATHOLIC  HTTPS://ALLAFRICA.COM/STORIES/202208080190.HTML,General,Positive,"CATHOLIC  Nairobi, Nairobi Area, Kenya  Nairobi, Nairobi Area, Kenya",27,Other
1057666035,20220808,202208,2022,2022.5973,CHRCTH,CATHOLIC,,,,CHR,CTH,,,,,,,,,,,,,,1,60,60,6,2,6.0,6,1,6,3.23741007194245,4,"Kiambu, Central, Kenya",KE,KE01,-1.16667,36.8333,-2250071,0,,,,,,,4,"Kiambu, Central, Kenya",KE,KE01,-1.16667,36.8333,-2250071,20220808,https://allafrica.com/stories/202208080190.html,2022-08-08,CATHOLIC  HTTPS://ALLAFRICA.COM/STORIES/202208080190.HTML,General,Positive,"CATHOLIC  Kiambu, Central, Kenya  Kiambu, Central, Kenya",9,Central Kenya / Kiambu
1057666036,20220808,202208,2022,2022.5973,CHRCTH,CATHOLIC,,,,CHR,CTH,,,,,,,,,,,,,,1,60,60,6,2,6.0,4,1,4,3.23741007194245,4,"Nairobi, Nairobi Area, Kenya",KE,KE05,-1.28333,36.8167,-2258072,0,,,,,,,4,"Nairobi, Nairobi Area, Kenya",KE,KE05,-1.28333,36.8167,-2258072,20220808,https://allafrica.com/stories/202208080190.html,2022-08-08,CATHOLIC  HTTPS://ALLAFRICA.COM/STORIES/202208080190.HTML,General,Positive,"CATHOLIC  Nairobi, Nairobi Area, Kenya  Nairobi, Nairobi Area, Kenya",27,Other
1057666071,20220808,202208,2022,2022.5973,CVL,VOTER,,,,,,CVL,,,LEG,REPRESENTATIVES,,,,,,LEG,,,1,20,20,2,1,3.0,20,2,20,0.041284403669725,4,"Nairobi, Nairobi Area, Kenya",KE,KE05,-1.28333,36.8167,-2258072,4,"Nairobi, Nairobi Area, Kenya",KE,KE05,-1.28333,36.8167,-2258072,4,"Nairobi, Nairobi Area, Kenya",KE,KE05,-1.28333,36.8167,-2258072,20220808,https://www.capitalfm.co.ke/news/2022/08/steps-in-voting-during-tomorrows-general-election/,2022-08-08,VOTER REPRESENTATIVES HTTPS://WWW.CAPITALFM.CO.KE/NEWS/2022/08/STEPS-IN-VOTING-DURING-TOMORROWS-GENERAL-ELECTION/,Election Process,Neutral,"VOTER REPRESENTATIVES Nairobi, Nairobi Area, Kenya Nairobi, Nairobi Area, Kenya Nairobi, Nairobi Area, Kenya",80,Other
1057666290,20220808,202208,2022,2022.5973,KEN,KENYAN,KEN,,,,,,,,,,,,,,,,,,1,12,12,1,1,-0.4,8,1,8,-2.8169014084507,1,Kenya,KE,KE,1.0,38.0,KE,0,,,,,,,1,Kenya,KE,KE,1.0,38.0,KE,20220808,https://nation.africa/kenya/counties/divided-central-kenyans-worried-ahead-of-historic-polls-3906822,2022-08-08,KENYAN  HTTPS://NATION.AFRICA/KENYA/COUNTIES/DIVIDED-CENTRAL-KENYANS-WORRIED-AHEAD-OF-HISTORIC-POLLS-3906822,General,Negative,KENYAN  Kenya  Kenya,4,Indigenous / Ethnic Groups
